Player,Season,Age,Tm,MP,G,TRB,AST,STL,BLK,TOV,PTS,FG%,3P%,TS%,PER,USG%,WS,BPM,VORP,Salary2,Adjusted Salary3
LeBron James,2012-13,28,MIA,37.9,76,8,7.3,1.7,0.9,3,26.8,0.565,0.406,0.64,31.6,30.2,19.3,11.7,9.9,"$17,545,000 ","$20,772,824 "
Anthony Davis,2014-15,21,NOP,36.1,68,10.2,2.2,1.5,2.9,1.4,24.4,0.535,0.083,0.591,30.8,27.8,14,8.9,6.7,"$5,607,240 ","$6,391,900 "
James Harden,2018-19,29,HOU,36.8,78,6.6,7.5,2,0.7,5,36.1,0.442,0.368,0.616,30.6,40.5,15.2,11,9.3,"$30,570,000 ","$32,960,751 "
Kevin Durant,2013-14,25,OKC,38.5,81,7.4,5.5,1.3,0.7,3.5,32,0.503,0.391,0.635,29.8,33,19.2,10.2,9.6,"$18,773,176 ","$21,843,723 "
LeBron James,2013-14,29,MIA,37.7,77,6.9,6.3,1.6,0.3,3.5,27.1,0.567,0.379,0.649,29.3,31,15.9,8.8,7.9,"$19,067,500 ","$22,186,187 "
Anthony Davis,2017-18,24,NOP,36.4,75,11.1,2.3,1.5,2.6,2.2,28.1,0.534,0.34,0.612,28.9,30,13.7,6.7,5.9,"$23,775,506 ","$26,371,006 "
LeBron James,2017-18,33,CLE,36.9,82,8.6,9.1,1.4,0.9,4.2,27.5,0.542,0.367,0.621,28.6,31.6,14,8.7,8.2,"$33,285,709 ","$36,919,409 "
Kevin Durant,2012-13,24,OKC,38.5,81,7.9,4.6,1.4,1.3,3.5,28.1,0.51,0.416,0.647,28.3,29.8,18.9,9.3,8.9,"$17,548,838 ","$20,777,369 "
Kevin Durant,2015-16,27,OKC,35.8,72,8.2,5,1,1.2,3.5,28.2,0.505,0.387,0.634,28.2,30.6,14.5,9.9,7.8,"$21,971,850 ","$25,015,562 "
LeBron James,2015-16,31,CLE,35.6,76,7.4,6.8,1.4,0.6,3.3,25.3,0.52,0.309,0.588,27.5,31.4,13.6,9,7.5,"$22,970,500 ","$26,152,553 "
Anthony Davis,2016-17,23,NOP,36.1,75,11.8,2.1,1.3,2.2,2.4,28,0.505,0.299,0.58,27.5,32.6,11,5.9,5.4,"$22,116,750 ","$24,931,882 "
James Harden,2016-17,27,HOU,36.4,81,8.1,11.2,1.5,0.5,5.7,29.1,0.44,0.347,0.613,27.4,34.2,15,8.7,8,"$26,540,100 ","$29,918,259 "
Giannis Antetokounmpo,2017-18,23,MIL,36.7,75,10,4.8,1.5,1.4,3,26.9,0.529,0.307,0.598,27.3,31.2,11.9,6.2,5.7,"$22,471,911 ","$24,925,101 "
LeBron James,2016-17,32,CLE,37.8,74,8.6,8.7,1.2,0.6,4.1,26.4,0.548,0.363,0.619,27,30,12.9,7.6,6.7,"$30,963,450 ","$34,904,635 "
Kevin Love,2013-14,25,MIN,36.3,77,12.5,4.4,0.8,0.5,2.5,26.1,0.457,0.376,0.591,26.9,28.8,14.3,8.9,7.7,"$14,693,906 ","$17,097,246 "
James Harden,2014-15,25,HOU,36.8,81,5.7,7,1.9,0.7,4,27.4,0.44,0.375,0.605,26.7,31.3,16.4,8.8,8.1,"$14,693,906 ","$16,750,126 "
Giannis Antetokounmpo,2016-17,22,MIL,35.6,80,8.8,5.4,1.6,1.9,2.9,22.9,0.521,0.272,0.599,26.1,28.3,12.4,7.3,6.7,"$2,995,420 ","$3,376,692 "
LeBron James,2014-15,30,CLE,36.1,69,6,7.4,1.6,0.7,3.9,25.3,0.488,0.354,0.577,25.9,32.3,10.4,7.1,5.7,"$20,644,400 ","$23,533,315 "
Karl-Anthony Towns,2016-17,21,MIN,37,82,12.3,2.7,0.7,1.3,2.6,25.1,0.542,0.367,0.618,25.9,27.5,12.7,4.7,5.2,"$5,960,160 ","$6,718,799 "
James Harden,2015-16,26,HOU,38.1,82,6.1,7.5,1.7,0.6,4.6,29,0.439,0.359,0.598,25.3,32.5,13.3,6.6,6.8,"$15,719,062 ","$17,896,589 "
Damian Lillard,2017-18,27,POR,36.6,73,4.5,6.6,1.1,0.4,2.8,26.9,0.439,0.361,0.594,25.2,30.6,12.6,7.2,6.3,"$26,153,057 ","$29,008,107 "
Jimmy Butler,2016-17,27,CHI,37,76,6.2,5.5,1.9,0.4,2.1,23.9,0.455,0.367,0.586,25.1,26.5,13.8,7.3,6.6,"$17,552,209 ","$19,786,343 "
Anthony Davis,2015-16,22,NOP,35.5,61,10.3,1.9,1.3,2,2,24.3,0.493,0.324,0.559,25,29.6,7.2,3.9,3.2,"$7,070,730 ","$8,050,222 "
Karl-Anthony Towns,2017-18,22,MIN,35.6,82,12.3,2.4,0.8,1.4,1.9,21.3,0.545,0.421,0.646,24.9,22.9,14,5.1,5.2,"$6,216,840 ","$6,895,513 "
Carmelo Anthony,2012-13,28,NYK,37,67,6.9,2.6,0.8,0.5,2.6,28.7,0.449,0.379,0.56,24.8,35.6,9.5,4.3,3.9,"$19,450,000 ","$23,028,295 "
Brook Lopez,2012-13,24,BRK,30.4,74,6.9,0.9,0.4,2.1,1.8,19.4,0.521,0,0.567,24.7,28.6,9,3.2,3,"$13,668,000 ","$16,182,557 "
Russell Westbrook,2017-18,29,OKC,36.4,80,10.1,10.3,1.8,0.3,4.8,25.4,0.449,0.298,0.524,24.7,34.1,10.1,6.3,6.1,"$28,299,399 ","$31,388,759 "
Tim Duncan,2012-13,36,SAS,30.1,69,9.9,2.7,0.7,2.7,2.1,17.8,0.502,0.286,0.554,24.4,27.8,8.3,5.3,3.8,"$9,638,554 ","$11,411,797 "
Carmelo Anthony,2013-14,29,NYK,38.7,77,8.1,3.1,1.2,0.7,2.6,27.4,0.452,0.402,0.561,24.4,32.4,10.7,5,5.3,"$21,490,000 ","$25,004,912 "
Stephen Curry,2013-14,25,GSW,36.5,78,4.3,8.5,1.6,0.2,3.8,24,0.471,0.424,0.61,24.1,28.3,13.4,7.4,6.7,"$9,887,642 ","$11,504,868 "
Damian Lillard,2016-17,26,POR,35.9,75,4.9,5.9,0.9,0.3,2.6,27,0.444,0.37,0.586,24.1,31.5,10.4,5,4.8,"$24,328,425 ","$27,425,070 "
